Lag2,Direction
1.5719999999999998,0
0.816,0
-0.27,1
-2.576,1
3.514,1
0.7120000000000001,0
1.178,1
-1.3719999999999999,1
0.807,1
0.040999999999999995,0
1.253,0
-2.678,1
-1.7930000000000001,1
2.82,1
4.022,0
0.75,1
-0.017,0
2.42,1
-1.225,0
1.171,1
-2.061,1
0.7290000000000001,1
0.11199999999999999,0
2.48,0
-1.5519999999999998,0
-2.259,0
-2.428,0
-2.708,0
-2.292,1
-4.978,1
3.5469999999999997,0
0.26,0
-2.032,0
-1.739,1
-1.693,0
1.781,1
-3.682,0
4.15,1
-2.487,1
2.343,1
0.606,0
1.077,1
-0.637,1
2.26,0
1.716,1
-0.284,0
1.508,0
-0.9129999999999999,0
-2.349,1
-1.798,1
5.393,1
1.156,1
2.077,1
4.751,0
2.702,1
-0.924,1
1.318,0
1.209,0
-0.363,1
-1.635,1
2.106,1
0.037000000000000005,1
1.3430000000000002,0
0.9990000000000001,1
-1.348,0
0.47,0
-1.329,1
-0.892,1
1.37,0
3.2689999999999997,1
-2.668,0
0.754,0
-1.188,1
-1.745,1
0.787,1
1.649,0
1.044,1
-0.856,0
1.641,0
-0.015,1
-0.39799999999999996,1
2.228,0
0.32,0
-1.601,1
-1.416,0
1.129,0
-0.521,1
-1.205,1
0.052000000000000005,0
2.897,1
-2.115,1
1.8530000000000002,0
0.401,0
-2.614,0
-1.694,1
-0.245,1
1.034,1
1.4169999999999998,1
0.6679999999999999,1
5.018,0
3.1689999999999996,1
-1.011,0
0.9059999999999999,0
-0.807,1
-1.6130000000000002,1
0.565,0
0.33799999999999997,1
-0.255,0
0.309,1
-2.001,1
0.34600000000000003,0
1.345,0
-1.896,1
-0.483,1
0.682,0
2.906,1
-1.6869999999999998,1
0.858,0
0.853,1
-1.433,1
0.958,0
0.321,0
-0.45,0
-0.9,0
-1.486,1
-0.054000000000000006,1
2.062,1
0.6920000000000001,0
0.24100000000000002,1
-0.9670000000000001,0
3.0639999999999996,1
-1.256,0
0.24600000000000002,0
-1.205,1
-0.002,1
0.54,1
0.599,0
0.7979999999999999,0
-2.029,0
-0.9359999999999999,1
-1.903,1
2.253,1
0.5760000000000001,0
1.1059999999999999,1
-0.263,1
1.161,1
0.9990000000000001,1
0.823,1
0.442,1
0.387,0
1.7409999999999999,0
-0.342,0
-0.9229999999999999,1
-1.5290000000000001,0
1.8880000000000001,1
-0.23800000000000002,1
0.612,0
2.313,0
-0.9690000000000001,1
-2.33,1
2.11,1
0.616,1
0.8340000000000001,0
0.078,0
-0.5329999999999999,1
-1.4269999999999998,1
0.102,0
1.607,1
-2.653,1
0.723,0
0.48200000000000004,1
-0.622,1
1.429,0
0.976,0
-0.028999999999999998,0
-0.622,1
-0.8,0
0.884,1
-0.39299999999999996,0
0.509,1
-0.527,1
0.303,1
0.23,1
0.12300000000000001,1
0.325,1
1.337,1
0.96,1
0.174,0
0.08199999999999999,0
-0.626,1
-0.262,0
0.7979999999999999,1
-0.21,0
1.996,1
-1.327,0
0.9840000000000001,1
-1.766,0
1.266,1
-0.599,1
0.099,0
0.395,1
-0.207,1
0.528,0
0.214,1
-0.19899999999999998,1
0.74,0
1.0659999999999998,1
-0.04,0
0.838,1
-1.857,0
0.079,0
-0.53,0
-0.34600000000000003,1
-0.285,1
0.366,0
0.99,0
-2.225,1
-3.216,0
0.298,1
-0.20600000000000002,1
0.325,0
0.733,0
-0.685,1
-0.8220000000000001,1
2.427,1
0.53,0
0.612,0
-0.317,0
-0.048,1
-3.4139999999999997,1
0.768,1
0.7509999999999999,0
1.025,1
-0.231,0
1.137,1
-0.255,1
1.061,1
0.377,0
2.1830000000000003,0
-0.593,1
-0.597,0
0.643,1
-2.445,0
0.6609999999999999,1
-1.645,0
3.076,1
-0.897,0
1.91,1
-2.425,0
0.015,0
-0.19,1
-1.989,0
0.223,1
-1.399,1
2.6489999999999996,0
0.22399999999999998,1
-0.122,1
0.307,0
1.148,1
-0.255,1
1.207,1
1.756,1
0.5870000000000001,1
0.106,0
1.274,1
-0.551,1
0.855,1
1.215,0
1.1,1
-0.052000000000000005,1
1.14,0
0.555,1
-0.145,1
1.2229999999999999,1
1.051,0
1.044,1
-1.21,1
0.8590000000000001,0
1.692,1
-0.858,1
2.252,0
1.83,1
-0.902,1
2.133,0
0.633,1
-1.12,0
1.682,0
-0.7090000000000001,1
-0.685,1
0.7390000000000001,1
0.159,1
0.6679999999999999,1
1.568,0
1.8630000000000002,1
-0.278,0
0.461,1
-0.32899999999999996,1
0.345,0
0.506,1
-1.321,1
1.875,1
0.364,0
1.24,1
-0.017,1
1.168,0
1.73,0
-0.185,1
-0.7120000000000001,1
0.65,0
0.127,1
-2.416,1
1.665,1
1.6,1
2.2880000000000003,0
3.2289999999999996,1
-1.278,0
1.713,0
-2.2319999999999998,1
-1.6869999999999998,1
1.252,0
1.433,1
-0.787,0
1.605,1
-2.92,1
1.3130000000000002,0
1.301,1
-1.81,1
1.63,1
2.5789999999999997,0
1.435,1
-1.3840000000000001,0
0.626,1
-1.1079999999999999,1
0.149,0
0.568,0
-1.9669999999999999,0
-1.7109999999999999,0
-1.1540000000000001,1
-0.44299999999999995,0
4.181,1
-0.059000000000000004,1
0.47,0
0.27399999999999997,1
-2.255,1
0.5660000000000001,1
3.7910000000000004,0
0.9540000000000001,1
-0.122,0
2.225,1
-0.114,0
1.45,1
-1.393,1
0.40700000000000003,1
3.844,1
0.93,1
1.506,0
1.107,0
-2.301,1
-1.482,1
2.7760000000000002,0
1.058,1
-1.158,1
1.5330000000000001,0
2.195,1
-0.728,1
2.03,1
0.43200000000000005,0
2.396,0
-0.83,1
-1.3659999999999999,0
1.7890000000000001,0
-1.466,0
-1.1440000000000001,0
-1.3030000000000002,0
-2.065,1
-2.6719999999999997,0
3.889,1
-0.127,1
6.218999999999999,1
1.453,1
0.603,1
2.083,1
0.14800000000000002,1
1.147,1
4.11,0
0.608,1
-1.268,0
3.338,0
-0.026000000000000002,1
-0.151,1
2.5660000000000003,0
0.889,0
-1.436,1
-3.5060000000000002,0
2.523,1
-2.6060000000000003,0
3.2889999999999997,1
-0.5529999999999999,0
2.8789999999999996,1
-0.557,1
2.096,0
0.20199999999999999,0
-2.36,0
-0.267,1
-2.8689999999999998,1
1.409,1
0.091,0
3.742,1
-0.7979999999999999,0
2.972,0
-3.09,0
-0.693,1
-1.09,0
4.12,1
-4.856,0
3.6460000000000004,1
-0.408,1
2.369,1
3.283,1
0.754,1
1.3840000000000001,1
1.463,1
0.605,1
1.224,0
2.859,1
-0.33799999999999997,0
2.488,1
-1.072,0
1.085,1
-1.32,0
1.182,1
-1.147,1
0.053,0
0.157,1
-1.77,0
2.112,1
-1.348,1
0.165,1
2.957,1
1.167,1
1.5619999999999998,0
1.926,0
-3.872,0
-1.765,0
-2.786,1
-2.451,0
1.74,0
-5.004,1
-5.184,1
3.611,1
1.093,0
2.417,0
-4.034,1
-1.8159999999999998,1
7.317,1
1.349,1
2.615,0
3.8539999999999996,1
-1.34,1
3.361,0
2.4730000000000003,0
-1.308,1
-0.8740000000000001,1
1.849,1
3.219,1
0.24100000000000002,0
3.7310000000000003,0
-2.496,1
-1.453,0
4.444,0
-3.145,1
-0.748,0
0.7390000000000001,1
-0.07200000000000001,1
2.9989999999999997,1
1.499,0
0.363,1
-1.2690000000000001,1
0.851,0
4.223,1
-2.177,0
2.87,1
-1.597,0
0.735,0
-0.535,0
-0.561,1
-2.1390000000000002,0
1.99,1
-2.569,0
3.803,1
-2.05,1
5.771,1
0.867,0
1.105,0
-4.359,0
-2.08,1
-2.14,1
2.106,1
0.6729999999999999,1
0.872,0
0.665,0
-0.41100000000000003,0
-1.2009999999999998,1
-4.348,1
0.42700000000000005,0
4.148,1
-6.632000000000001,1
4.348,1
4.708,1
0.536,1
1.885,0
1.858,1
-0.37799999999999995,0
1.177,1
-1.1340000000000001,1
0.282,1
2.6260000000000003,0
0.748,1
-1.891,0
1.643,0
-1.624,1
-5.6339999999999995,0
4.721,0
-2.615,0
-2.958,1
-0.946,0
5.686,1
-1.001,1
4.975,0
4.301,1
-1.891,0
1.186,1
-10.538,1
5.747999999999999,0
1.247,0
-1.3630000000000002,0
-0.815,0
-0.986,1
-2.056,0
7.202000000000001,1
-1.375,0
0.515,1
-1.569,1
0.91,1
1.671,0
2.102,0
-1.973,1
-4.074,1
3.031,1
0.609,1
1.351,1
0.987,0
0.951,0
-1.7269999999999999,0
-1.92,0
-1.166,0
-0.843,0
-1.916,1
-2.471,0
1.656,1
-1.242,0
3.415,1
-4.255,0
0.127,0
-1.8969999999999998,1
-1.9780000000000002,0
4.156000000000001,0
-4.215,1
-0.473,0
1.097,1
-1.661,1
1.556,1
1.819,0
0.924,0
-0.40399999999999997,0
-2.572,0
-1.006,0
-4.277,0
-0.938,0
-0.062,0
-6.72,1
-0.93,0
1.7990000000000002,1
-2.7489999999999997,1
4.88,1
5.026,1
0.81,0
1.082,1
-1.653,0
3.716,0
-1.089,1
-1.348,0
0.34,1
-4.0,0
0.905,0
-0.079,1
-2.76,0
2.1069999999999998,0
-0.397,1
-0.415,0
0.7070000000000001,0
-1.992,1
-2.369,0
1.976,0
-4.334,0
-4.217,1
-11.05,1
7.78,1
2.924,0
1.892,1
-1.6640000000000001,0
2.9,1
-1.5759999999999998,1
3.045,1
1.6369999999999998,0
1.0270000000000001,1
-0.9470000000000001,0
1.655,1
-3.0410000000000004,1
1.9409999999999998,1
1.409,0
0.99,0
-2.295,1
-1.5730000000000002,0
0.506,0
-0.978,1
-2.315,0
0.726,1
-1.2990000000000002,1
3.8480000000000003,1
2.8739999999999997,0
0.159,0
-1.4969999999999999,0
-0.114,0
-2.149,1
-1.044,0
1.275,0
-4.342,0
-0.26899999999999996,1
-1.7180000000000002,0
4.891,0
-2.0580000000000003,0
-1.5390000000000001,0
-3.7119999999999997,0
-1.972,1
-1.8,0
0.069,0
-0.08,0
-6.8389999999999995,1
-7.992000000000001,1
0.6,1
1.337,1
5.1370000000000005,1
2.215,0
1.3019999999999998,0
-2.635,0
-2.418,0
-0.46,0
-4.992,0
-2.1319999999999997,1
-3.238,1
4.3389999999999995,1
5.874,1
1.499,0
0.369,1
-0.69,1
1.6869999999999998,1
2.2769999999999997,0
0.619,0
-2.572,1
-2.494,0
0.706,1
-2.273,1
3.7910000000000004,0
2.089,0
-2.78,0
-4.478,0
-0.662,1
-3.04,1
0.627,0
1.591,0
-0.828,1
-1.4580000000000002,1
0.528,0
7.502999999999999,1
-3.605,0
1.778,1
-1.2,1
2.911,1
0.585,1
3.4789999999999996,1
0.358,0
1.167,1
-1.173,1
3.2539999999999996,1
2.508,1
0.086,0
0.716,1
-1.955,1
0.971,0
1.262,1
-0.483,0
0.54,0
-1.855,1
-0.261,1
1.338,1
0.24100000000000002,1
1.505,0
1.327,1
-0.27,0
1.735,1
-3.807,1
3.31,1
0.797,0
0.121,1
-1.002,1
2.119,0
0.23800000000000002,0
-0.272,1
-1.435,1
2.214,1
0.312,1
1.1909999999999998,1
1.3519999999999999,1
0.664,1
1.149,1
1.207,1
1.6019999999999999,0
0.151,1
-0.9129999999999999,1
1.028,0
0.267,1
-0.14800000000000002,1
0.073,0
1.041,0
-3.137,0
-0.963,1
-0.155,0
3.0460000000000003,0
-0.218,1
-0.413,0
0.528,0
-2.92,0
-0.777,0
-0.273,1
-0.195,1
2.48,1
0.162,0
1.245,0
-0.128,0
-0.052000000000000005,0
-0.7979999999999999,0
-1.117,0
-1.026,1
-1.379,0
1.429,1
-3.426,1
0.078,1
3.1510000000000002,1
0.858,1
0.529,1
0.924,0
0.41200000000000003,1
-1.6340000000000001,0
1.9269999999999998,0
-0.8270000000000001,0
-1.242,1
-1.124,1
3.145,1
3.1830000000000003,0
1.544,1
-1.168,1
1.052,0
0.72,1
-0.266,1
0.522,1
1.334,0
0.14800000000000002,0
-2.123,0
-0.141,1
-1.406,1
0.299,1
2.7039999999999997,0
0.18899999999999997,1
-0.308,1
0.8140000000000001,0
0.887,0
-1.8030000000000002,0
-0.8690000000000001,1
-1.5319999999999998,1
0.128,0
0.706,1
-3.266,1
0.831,1
0.41100000000000003,0
1.253,1
-1.4769999999999999,1
3.053,0
0.799,1
-0.23,1
0.175,0
1.5730000000000002,1
-2.086,1
0.24100000000000002,1
1.4580000000000002,1
1.325,1
0.469,0
0.040999999999999995,1
-0.629,0
0.324,0
-0.868,1
-1.198,1
1.072,0
1.926,0
-0.28800000000000003,1
-1.827,0
1.112,0
-2.678,0
-0.78,1
-0.588,1
1.595,1
1.8130000000000002,1
1.195,1
1.097,0
1.601,0
-0.25,1
-0.451,1
0.631,0
0.106,1
-1.6059999999999999,1
2.977,0
0.168,1
-2.029,0
1.7619999999999998,1
-1.534,1
0.23399999999999999,1
1.598,0
0.17,0
-0.171,1
-0.451,0
2.016,0
-0.32899999999999996,1
-0.62,0
0.049,1
-0.49200000000000005,0
1.719,1
-0.051,0
1.156,0
-2.6039999999999996,1
-1.875,1
1.036,0
0.63,0
-2.7880000000000003,0
-0.061,1
-0.563,0
2.065,0
-0.37200000000000005,1
-2.314,1
0.331,1
3.085,0
0.063,1
-0.986,0
2.807,1
-0.5539999999999999,0
1.229,1
-0.922,0
1.597,1
-0.37,1
1.6030000000000002,1
1.0290000000000001,1
1.188,1
0.218,0
0.639,1
-0.9470000000000001,1
1.217,0
1.47,0
-0.018000000000000002,1
-0.303,1
0.94,0
1.224,1
-1.1440000000000001,0
0.534,1
-0.606,0
1.4909999999999999,0
-0.016,1
-0.5820000000000001,0
1.8430000000000002,1
-0.713,0
1.216,0
-0.299,1
-4.412,0
1.13,1
-1.133,0
3.5439999999999996,1
-1.062,1
1.6119999999999999,1
0.63,1
2.168,1
0.655,1
0.773,1
0.015,0
1.122,1
-0.461,0
1.36,1
-1.8659999999999999,0
1.6740000000000002,1
-1.98,1
0.053,1
1.8019999999999998,0
1.4409999999999998,0
-1.185,0
-4.899,1
-1.775,0
1.436,1
-0.53,0
2.312,0
-0.364,1
-1.3869999999999998,1
2.112,1
2.7960000000000003,1
0.066,1
2.02,0
0.27,1
-3.917,0
2.309,0
-1.669,1
-3.7060000000000004,0
0.34700000000000003,1
-1.237,1
2.807,0
1.588,1
-2.44,0
1.125,0
-0.402,0
-4.522,0
-0.752,1
-5.412000000000001,1
0.409,0
4.871,1
-4.596,1
1.405,0
0.231,0
-1.661,0
-2.8,1
-0.40399999999999997,0
3.2119999999999997,1
-1.075,0
4.195,1
-2.742,1
4.314,1
0.54,0
1.149,1
-1.8119999999999998,0
2.67,1
-3.467,0
1.777,0
-2.835,0
-0.048,0
-3.096,0
-3.0010000000000003,0
-1.2109999999999999,1
-1.854,0
1.71,1
-0.23199999999999998,1
0.203,1
2.8569999999999998,0
0.145,0
-0.462,0
-0.725,1
-3.159,1
0.7559999999999999,0
0.27,0
-3.3310000000000004,0
-9.399,1
-18.195,0
4.596,1
-6.781000000000001,0
10.491,0
-3.898,0
-6.1979999999999995,1
-8.389,0
12.026,1
-2.251,1
0.418,0
0.9259999999999999,1
